system:index,CellCode,LATITUDE,LONGITUDE,PLOTID,batch,constant,country,stratum,.geo
000000000000000023d2_0,60794286,48.05742807254446,13.09236982071481,a13-09236982071481_48-05742807254446,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124_0,64850499,46.95644309577285,16.10448379291396,a16-10448379291396_46-95644309577285,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cdf_0,64850499,46.95158593446572,15.58232167213151,a15-58232167213151_46-95158593446572,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010e6_0,64850499,46.73478202830692,15.29599421849449,a15-29599421849449_46-73478202830692,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c8_0,64850499,46.88218270544423,15.90285118666083,a15-90285118666083_46-88218270544423,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014fb_0,64850499,47.08663546141904,15.40149514532879,a15-40149514532879_47-08663546141904,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d61_0,64850499,46.97345396433373,16.05729821840511,a16-05729821840511_46-97345396433373,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002631_0,64850499,46.95842317215644,15.7596665398515,a15-7596665398515_46-95842317215644,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000093d_0,69813674,46.76784720516289,14.9086205166793,a14-9086205166793_46-76784720516289,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ddb_0,69813674,46.547523207007,13.74699903688775,a13-74699903688775_46-547523207007,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000108d_0,69813674,47.28640117299014,14.80381007782987,a14-80381007782987_47-28640117299014,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000176a_0,69813674,46.82358330110835,14.85093397476578,a14-85093397476578_46-82358330110835,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000186e_0,69813674,46.70909375807595,14.25505194641277,a14-25505194641277_46-70909375807595,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000024d6_0,69813674,46.56349385900057,13.92571965001665,a13-92571965001665_46-56349385900057,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000587_0,73573979,48.06859810180369,15.14332137963245,a15-14332137963245_48-06859810180369,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d5_0,73573979,48.13315204241994,15.4414524509803,a15-4414524509803_48-13315204241994,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dc0_0,73573979,48.11626318997603,15.49821631421245,a15-49821631421245_48-11626318997603,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e07_0,73573979,47.62092344016935,16.12381019645721,a16-12381019645721_47-62092344016935,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
