system:index,CellCode,area,country,stratum,.geo
00000000000000000039_4,11258299,6193617.013018709,DEU,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_5,11258299,2762957.7990112305,DEU,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,11258299,1758997.4961445532,DNK,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_1,11258299,6540492.226035714,DNK,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_2,11258299,18998.177215576172,DNK,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_3,11258299,14698.650245666504,DNK,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_4,11258299,4899.579452514648,DNK,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_5,11258299,7399.351951599121,DNK,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,11283583,3234204470.4743905,CHE,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_1,11283583,119605063.02329022,CHE,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_2,11283583,4958289.234209187,CHE,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_3,11283583,1394185.0336661246,CHE,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_4,11283583,1885130.3131054745,CHE,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_5,11283583,27221.72430419922,CHE,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,11283583,5026965520.528287,ITA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_1,11283583,1039378531.9779756,ITA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_2,11283583,42133957.24005741,ITA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_3,11283583,11951904.693390071,ITA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_4,11283583,16450386.161946556,ITA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_5,11283583,1961206.4034319709,ITA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,1152480,7010047902.789313,POL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_1,1152480,2759374501.0437226,POL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_2,1152480,28893030.683288064,POL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_3,1152480,11512189.945887338,POL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_4,1152480,25293873.837730855,POL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_5,1152480,7393194.325238875,POL,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,11538097,7913551237.127131,ESP,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_1,11538097,1994316464.85021,ESP,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_2,11538097,5249619.480741883,ESP,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_3,11538097,1922083.8777858955,ESP,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_4,11538097,1941806.654296875,ESP,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_5,11538097,625221.3974938786,ESP,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,11594590,2728065492.1865263,NOR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_1,11594590,135698965.88908353,NOR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_2,11594590,7598398.808374831,NOR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_3,11594590,1255697.2010502834,NOR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_4,11594590,5463418.197358793,NOR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_5,11594590,282652.758405678,NOR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,11625144,311985809.2254897,CZE,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_1,11625144,233176639.4160156,CZE,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_2,11625144,4508001.679766158,CZE,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_3,11625144,1773112.7933738558,CZE,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_4,11625144,3264101.188525061,CZE,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_5,11625144,652840.8151931763,CZE,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,11625144,6205731913.0703535,POL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_1,11625144,2833078676.879318,POL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_2,11625144,76189295.90465869,POL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_3,11625144,38664980.75939203,POL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_4,11625144,63199707.65126007,POL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_5,11625144,19159611.742067043,POL,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,11705184,6403598691.813194,FRA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_1,11705184,567790262.2493432,FRA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_2,11705184,23169600.536258142,FRA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_3,11705184,4927393.620283747,FRA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_4,11705184,16939794.723075148,FRA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_5,11705184,1395301.6797413246,FRA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,117551,29001702.635580577,ITA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_1,117551,4179465.5454424694,ITA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_2,117551,1048900.895880845,ITA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_3,117551,122387.33126068117,ITA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_4,117551,450048.1677790323,ITA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_5,117551,17916.431695287367,ITA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,11846360,9226980441.10699,SWE,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_1,11846360,18691701.2026693,SWE,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_2,11846360,481292.9660873413,SWE,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_3,11846360,114152.3088531494,SWE,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_4,11846360,389126.4892807007,SWE,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
