system:index,CellCode,area,stratum,type,.geo
1_0,14257795,456690092.4616474,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14257795,763366.3635001688,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14375116,94141745.7513465,806,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14375116,17613.624969482422,806,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14393819,696647524.7650179,793,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14393819,3266074355.9712205,799,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14393819,659850.5943798888,793,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14393819,11148875.829935111,799,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14416916,5860822069.53459,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14416916,610031818.486232,801,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14416916,5237716.287218849,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14416916,48120.88542938232,801,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14594620,7099803186.002551,688,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14594620,2893191773.258947,727,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14594620,5339332.3828528905,688,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14594620,796278.0784840902,727,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14672135,6991293.065654324,774,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14800100,1041073647.7442976,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14800100,6654772871.816794,661,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,14800100,2221316473.340828,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14800100,258229.5008621216,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14800100,1632621.5704366944,661,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,14800100,382843.687238207,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14836908,3263228273.424042,644,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14836908,3786598465.3595743,795,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,14836908,1842908686.6537604,806,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14836908,1450087.171238828,644,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14836908,8473397.230231341,795,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,14836908,8630989.137511788,806,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14847429,3814612259.8252606,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,14847429,3866750280.2657304,661,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,14847429,477065173.8939901,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14847429,1054086.2544487747,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,14847429,2332363.7400657204,661,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,14847429,492540.7096453498,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14874093,1960336020.2791696,806,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14874093,11665918.402770877,806,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14902776,2960171591.1668744,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14902776,26021016.001945645,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14913745,318128965.73342454,658,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,14913745,874327.8819874184,658,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15018310,8665315647.43792,651,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15018310,732982393.6382577,691,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
