system:index,area,id,stratum,.geo
"91,11_4",4800.0,1.703128128E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,11_0",1.9943652E9,8.55784493E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,11_1",5454800.0,8.55784493E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,11_2",246800.0,8.55784493E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,11_3",69200.0,8.55784493E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,11_4",107200.0,8.55784493E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,11_0",2.4139028E9,6.54143714E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,11_1",2018000.0,6.54143714E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,11_2",48000.0,6.54143714E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,11_3",8000.0,6.54143714E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,11_4",17600.0,6.54143714E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,11_0",2.3307748E9,7.670861326E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,11_1",1414000.0,7.670861326E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,11_2",54800.0,7.670861326E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,11_3",5200.0,7.670861326E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,11_4",25600.0,7.670861326E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,11_0",1.9834308E9,9.195954334E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,11_1",2574000.0,9.195954334E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,11_2",99200.0,9.195954334E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,11_3",15200.0,9.195954334E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,11_4",44400.0,9.195954334E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,11_0",1.1826816E9,3.37631879E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,11_1",4620400.0,3.37631879E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,11_2",456800.0,3.37631879E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,11_3",57200.0,3.37631879E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,11_4",206000.0,3.37631879E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,12_0",6.356596E8,8.517382319E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,12_1",1074000.0,8.517382319E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,12_2",46000.0,8.517382319E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,12_3",5600.0,8.517382319E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,12_4",37200.0,8.517382319E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,12_0",1.0241232E9,6.394164601E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,12_1",3647600.0,6.394164601E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,12_2",216400.0,6.394164601E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,12_3",67600.0,6.394164601E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,12_4",116400.0,6.394164601E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,12_0",1.3773432E9,9.974705376E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,12_1",5323600.0,9.974705376E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,12_2",591600.0,9.974705376E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,12_3",203200.0,9.974705376E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,12_4",440000.0,9.974705376E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,12_0",2.1549748E9,6.189147596E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
