selectedName,sessionID,REFID,INDEX,verification,baseline_land_use,change_type,change_type_2,confidence,timespent,notes,starred,PLOTID
ioanna_petsiou,1738759494042,a-0-12235483799349_39-87452618575568,12,no,grassland/wetland,NA,NA,very certain,299.96,NA,FALSE,a-0-12235483799349_39-87452618575568
ioanna_petsiou,1738759494042,a21-85232742881239_56-63184019986567,13,no,forest,NA,NA,very certain,162.766,NA,FALSE,a21-85232742881239_56-63184019986567
cemre_demircioglu,1738767373378,a14-85093397476578_46-82358330110835,0,no,built,NA,NA,very certain,264.84,NA,FALSE,a14-85093397476578_46-82358330110835
cemre_demircioglu,1738767373378,a6-14351941119355_53-11281677592201,1,yes,cropland,"Transport, Communication Networks, and Logistics",NA,very certain,126.486,NA,FALSE,a6-14351941119355_53-11281677592201
cemre_demircioglu,1738767373378,a-7-28003271788629_54-95485504420398,3,no,cropland,NA,NA,very certain,98.57,NA,FALSE,a-7-28003271788629_54-95485504420398
cemre_demircioglu,1738767373378,a27-3927182125516_37-11714632017949,4,no,cropland,NA,NA,very certain,566.781,NA,FALSE,a27-3927182125516_37-11714632017949
cemre_demircioglu,1738767373378,a27-3927182125516_37-11714632017949,4,no,cropland,NA,NA,very certain,566.781,NA,FALSE,a27-3927182125516_37-11714632017949
cemre_demircioglu,1738767373378,a20-82962802509664_37-83205855939962,5,yes,cropland,"Recreation, Leisure, and Sports",NA,moderately certain,765.39,There is a built up expansion in the location but it covers %35 of the red square. It is a swimming pool for a villa.,FALSE,a20-82962802509664_37-83205855939962
cemre_demircioglu,1738767373378,a23-20716566246493_38-6434997141033,6,yes,cropland,Residential,NA,very certain,432.611,NA,FALSE,a23-20716566246493_38-6434997141033
cemre_demircioglu,1738767373378,a37-90445178624353_38-08108272873331,7,yes,cropland,Agriculture,NA,very certain,544.11,NA,FALSE,a37-90445178624353_38-08108272873331
ioanna_petsiou,1738759494042,a13-8627495017539_45-18725221855141,14,no,grassland/wetland,NA,NA,moderately certain,3258.112,"Firstly, the most recent image we can get is from 2021, so we can't be sure of what happened later. Secondly, the area has changed from 2018 to 2021, but the pixel only captures a very small part of the change (a road) that is much less than 50% of the square.",FALSE,a13-8627495017539_45-18725221855141
ioanna_petsiou,1738759494042,a20-97432197353474_48-55352785483711,15,no,grassland/wetland,NA,NA,very certain,313.254,NA,FALSE,a20-97432197353474_48-55352785483711
cemre_demircioglu,1738767373378,a7-2300724351066_46-15527040504077,8,yes,grassland/wetland,Uncertain,NA,very certain,733.162,"Looks like a hotel construction, and this is a carpark/constuciton site",FALSE,a7-2300724351066_46-15527040504077
ioanna_petsiou,1738759494042,a16-93467993342211_58-85667056207708,16,no,cropland,NA,NA,very certain,553.823,NA,FALSE,a16-93467993342211_58-85667056207708
cemre_demircioglu,1738767373378,a19-27168633740048_48-06747928087463,9,no,built,NA,NA,very certain,183.542,NA,FALSE,a19-27168633740048_48-06747928087463
cemre_demircioglu,1738767373378,a26-18598311816883_41-02121949812437,10,no,shrubland,NA,NA,moderately certain,137.906,NA,FALSE,a26-18598311816883_41-02121949812437
ioanna_petsiou,1738759494042,a17-11664233493289_43-50982099247865,17,no,shrubland,NA,NA,very certain,323.848,NA,FALSE,a17-11664233493289_43-50982099247865
