system.index,CellCode,PLOTID,stratum,.geo,country,geometry
000000000000000009dc_0,76859701,a3-60678688150936_49-87298295206597,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.60678688150936, 49.872982952066)"
00000000000000001e53_0,76859701,a2-97777515241702_49-62325692431899,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.97777515241702, 49.623256924319)"
00000000000000002682_0,76859701,a2-84788720352714_49-43589049788343,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.84788720352714, 49.4358904978834)"
00000000000000002008_0,78458022,a1-07970499878102_47-78245083429633,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.07970499878102, 47.7824508342963)"
00000000000000000173_0,81708405,a-1-34144867248374_47-02619422462487,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-1.34144867248374, 47.0261942246249)"
00000000000000000c24_0,86774700,a5-3725663810706_49-18283164000857,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.3725663810706, 49.1828316400086)"
00000000000000001db3_0,95126845,a-0-82743131825415_43-79556781136915,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.82743131825415, 43.7955678113692)"
00000000000000002137_0,95126845,a-0-31766244945443_43-32414244569857,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.31766244945443, 43.3241424456986)"
00000000000000001494_0,99736246,a5-26990999728356_46-88684945297596,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.26990999728356, 46.886849452976)"
000000000000000027ef_0,2085502,a-4-67683631389087_48-41781783298007,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-4.67683631389087, 48.4178178329801)"
00000000000000001a26_0,3793949,a6-73675044939551_43-46379357466396,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(6.73675044939551, 43.463793574664)"
00000000000000000153_0,5643052,a1-28070842348771_43-91357243865918,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.28070842348771, 43.9135724386592)"
0000000000000000091d_0,5643052,a1-29691359735155_43-92636954477647,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.29691359735155, 43.9263695447765)"
000000000000000000aa_0,6861980,a4-78479287624872_45-19906465843663,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.78479287624872, 45.1990646584366)"
00000000000000002415_0,6861980,a5-10661831693265_45-46223748339698,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.10661831693265, 45.462237483397)"
00000000000000001953_0,11705184,a3-51855119304046_43-36447972311913,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.51855119304046, 43.3644797231191)"
00000000000000000e8d_0,15384808,a4-61495172573086_44-32293267612035,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.61495172573086, 44.3229326761204)"
0000000000000000091a_0,20210009,a-2-58600095721246_47-99141074791875,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-2.58600095721246, 47.9914107479188)"
000000000000000016d4_0,20210009,a-2-99306907786279_47-75520773949835,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-2.99306907786279, 47.7552077394984)"
000000000000000026fc_0,25605710,a-0-96330893015138_45-96136362951275,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.96330893015138, 45.9613636295128)"
00000000000000001228_0,26762955,a2-90863449898315_48-96757047814668,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.90863449898315, 48.9675704781467)"
000000000000000027e5_0,26762955,a4-04541498665052_48-27085473352302,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.04541498665052, 48.270854733523)"
0000000000000000218a_0,28849022,a0-09874497334154_45-68178531005124,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.09874497334154, 45.6817853100512)"
00000000000000001920_0,32493957,a6-31320886818337_45-88462191068728,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(6.31320886818337, 45.8846219106873)"
00000000000000000160_0,33567433,a3-71785821823016_46-64665419605159,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(3.71785821823016, 46.6466541960516)"
00000000000000001b9e_0,33567433,a4-28173753785358_46-43164393143181,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.28173753785358, 46.4316439314318)"
00000000000000002706_0,41271191,a-0-15488208371896_44-55444488495414,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.15488208371896, 44.5544448849541)"
0000000000000000273c_0,41271191,a-0-06933149025929_45-01415475443331,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.06933149025929, 45.0141547544333)"
0000000000000000279c_0,48166832,a4-34022758528182_45-82294319381438,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(4.34022758528182, 45.8229431938144)"
00000000000000002156_0,53238145,a0-84055750119702_45-1431960761216,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.84055750119702, 45.1431960761216)"
00000000000000000ce1_0,57233035,a1-58668497176022_43-42195762592925,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.58668497176022, 43.4219576259293)"
0000000000000000213e_0,57620629,a2-82561487196126_46-74652031136803,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.82561487196126, 46.746520311368)"
00000000000000002274_0,57620629,a2-21945349235746_47-12580180509703,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.21945349235746, 47.125801805097)"
00000000000000001ae5_0,63957442,a2-21970301019494_48-51541361818634,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.21970301019494, 48.5154136181863)"
000000000000000001be_0,64760445,a5-8042719454299_43-85118083137371,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.8042719454299, 43.8511808313737)"
000000000000000024b4_0,65489445,a2-96036849245717_47-45055104094946,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.96036849245717, 47.4505510409495)"
00000000000000000275_0,66045064,a-0-67206890769386_47-43718637817035,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.67206890769386, 47.4371863781704)"
00000000000000001d62_0,66045064,a-0-69161241483947_47-58700723395424,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.69161241483947, 47.5870072339542)"
000000000000000021e9_0,66045064,a-0-58513190982463_47-43945375006565,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.58513190982463, 47.4394537500657)"
00000000000000001d55_0,83470793,a2-94757107014456_45-2102351339108,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.94757107014456, 45.2102351339108)"
