PLOTID,country,m,r
a8-79381639935089_46-34850104197057,CHE,nature stable,nature stable
a8-89341972759923_46-30165880737939,CHE,nature stable,nature stable
a8-63974123016251_46-22622221046544,CHE,nature stable,nature stable
a10-15017909542672_46-75501452933271,CHE,nature stable,nature stable
a10-08279330708288_46-72699436931696,CHE,nature stable,nature stable
a10-0229523022276_46-76367055454275,CHE,nature stable,nature stable
a10-23707066743372_46-82815051703317,CHE,nature stable,nature stable
a9-84132091725566_46-75518243466971,CHE,nature stable,nature stable
a10-33421866848393_46-74343584693171,CHE,nature stable,nature stable
a8-08512155630157_47-28787510189228,CHE,nature stable,crop/built stable
a8-04332839651194_46-51127647156262,CHE,nature stable,nature stable
a8-16044988626538_46-85244637205803,CHE,nature stable,nature stable
a8-02311941250906_46-64538798532504,CHE,nature stable,nature stable
a7-86524182771172_47-27774626295444,CHE,nature stable,nature stable
a7-43353087362011_47-04928248405335,CHE,nature stable,crop/built stable
a8-28015123656313_46-79435214338498,CHE,nature stable,nature stable
a7-24772554128451_46-93383211629228,CHE,nature stable,crop/built stable
a7-35299909456853_46-62837269105107,CHE,nature stable,nature stable
a7-65279857128958_46-93897501264547,CHE,nature stable,nature stable
a8-36874074415893_46-6975648134819,CHE,nature stable,nature stable
a7-07960146344703_47-35494444061587,CHE,nature stable,nature stable
a7-62141912897454_46-81101817596014,CHE,nature stable,nature stable
a7-68203135603171_47-06218224580905,CHE,nature stable,nature stable
a7-51853872318002_46-61682459717573,CHE,nature stable,nature stable
a7-37483140527296_46-72809574053071,CHE,nature stable,nature stable
a7-58464934604609_47-01637277000268,CHE,nature stable,nature stable
a8-15994006945007_47-12610325885178,CHE,nature stable,nature stable
a7-80373647593619_46-88018307333606,CHE,nature stable,nature stable
a7-23269402755474_47-31391455193637,CHE,nature stable,nature stable
a7-74649712150897_46-90314166356514,CHE,nature stable,crop/built stable
a6-23377711742348_46-26008522639953,CHE,nature stable,nature stable
a7-04485170988842_46-18419064557139,CHE,nature stable,nature stable
a7-09480700064688_46-39085179509339,CHE,nature stable,crop/built stable
a6-97343993574001_46-37631701248963,CHE,nature stable,nature stable
a8-26358276730736_46-37697812187385,CHE,nature stable,nature stable
a7-2102297591887_46-4257276888283,CHE,nature stable,nature stable
a7-15275851753592_45-99452081241208,CHE,nature stable,nature stable
a7-87778475218892_46-47615221258545,CHE,nature stable,nature stable
a7-53328593644894_46-19388522959327,CHE,nature stable,nature stable
a7-62023547390735_45-981031570811,CHE,nature stable,nature stable
a7-87160647939889_46-14403832336156,CHE,nature stable,nature stable
a7-45495802680167_46-17456593846735,CHE,nature stable,nature stable
a7-60783990655552_46-44758959879074,CHE,nature stable,nature stable
a7-87875899310057_46-31716627391381,CHE,nature stable,nature stable
a7-66158515069482_46-34597760882479,CHE,nature stable,nature stable
a7-85922943215815_45-99628762629743,CHE,nature stable,nature stable
a7-88487932531406_46-18484715749114,CHE,nature stable,nature stable
a7-46548858678613_46-19283867838804,CHE,nature stable,nature stable
a7-77742608839549_46-18536821916461,CHE,nature stable,nature stable
a10-10118786659927_46-36659246938303,CHE,nature stable,nature stable
a9-86927221122977_46-44959466000387,CHE,nature stable,nature stable
a9-23347983296031_47-50519608908162,CHE,nature stable,crop/built stable
a9-42188954872465_47-43020934861546,CHE,nature stable,crop/built stable
a9-33421000394239_47-49136588470704,CHE,nature stable,nature stable
a8-59881882755275_46-83093063024102,CHE,nature stable,nature stable
a8-61063403007708_47-20268045153411,CHE,nature stable,nature stable
a9-3036638271318_46-6024001128006,CHE,nature stable,nature stable
a8-53860596117379_46-61624865025152,CHE,nature stable,nature stable
a9-41672709044614_47-24115000882106,CHE,nature stable,nature stable
a8-90843857006406_47-34895004610766,CHE,nature stable,nature stable
a8-45003597820821_46-7904434092096,CHE,nature stable,nature stable
a9-51684924761801_46-91808621989858,CHE,nature stable,nature stable
a9-34718827695791_47-23994423850503,CHE,nature stable,nature stable
a9-52294304987741_46-8824593861282,CHE,nature stable,nature stable
a9-06155861071044_46-62982721625191,CHE,nature stable,nature stable
a8-60403509338679_46-85161947204529,CHE,nature stable,nature stable
a8-7150421753486_46-58076643263562,CHE,nature stable,nature stable
a8-838136212458_46-76983885415333,CHE,nature stable,nature stable
a9-35684025620648_46-74446622559645,CHE,nature stable,nature stable
a9-24768655623521_47-26666698539528,CHE,nature stable,nature stable
a8-77321547331193_46-66970197091516,CHE,nature stable,nature stable
a9-38422764624906_47-13195360808275,CHE,nature stable,nature stable
a8-46237117896228_47-23399428471959,CHE,nature stable,nature stable
a8-62871842042008_47-2925794844264,CHE,nature stable,crop/built stable
a8-99094759224189_46-59010434105122,CHE,nature stable,nature stable
a9-08562681862038_47-30629377704885,CHE,nature stable,crop/built stable
a9-6742189970276_46-73193625506278,CHE,nature stable,nature stable
a9-21619063958746_46-91911509491592,CHE,nature stable,nature stable
a6-54473288084524_46-66049963941872,CHE,nature stable,nature stable
a6-28754897428015_46-65995216819483,CHE,nature stable,nature stable
a6-82848061721325_46-93261057972128,CHE,nature stable,nature stable
a6-3447035458631_46-60061934262851,CHE,nature stable,nature stable
a6-58004896046946_46-97783460014932,CHE,nature stable,crop/built stable
a6-62329494506573_46-89197171739571,CHE,nature stable,nature stable
a7-06590993621392_46-56686004834347,CHE,nature stable,nature stable
a6-70100952966967_46-5030106946589,CHE,nature stable,crop/built stable
a6-89956991571534_46-64833313327912,CHE,nature stable,crop/built stable
a7-07458880867459_47-0058563783241,CHE,nature stable,nature stable
a8-29127586905422_46-38012572731346,CHE,buffer nature stable,buffer nature stable
a7-74231280378312_46-49140461552904,CHE,nature stable,nature stable
a7-95057028552066_47-19438646253897,CHE,nature stable,nature stable
a7-33884508324104_46-99367301653503,CHE,buffer nature stable,buffer crop/built stable
a7-69728345368413_47-19128920741061,CHE,buffer crop/built stable,buffer crop/built stable
a7-21964523201935_46-6520364721434,CHE,nature stable,nature stable
a-22-37961580425212_63-98953279544664,ISL,buffer nature stable,buffer crop/built stable
a-15-46263099024143_64-45279323015546,ISL,buffer nature stable,buffer nature stable
a-22-43721885200864_63-93350279150534,ISL,nature stable,nature stable
a-22-29052959915398_65-49733291953275,ISL,nature stable,nature stable
a-22-93752799624387_65-74335039730282,ISL,nature stable,nature stable
a-19-83016368571491_65-8665795412332,ISL,nature stable,nature stable
a-18-99698817528492_63-79690687263031,ISL,nature stable,nature stable
a-19-79645637060297_64-26884026896602,ISL,nature stable,nature stable
a-21-33076754188099_64-32744198329121,ISL,nature stable,nature stable
a-19-51369237844016_64-69773941484114,ISL,nature stable,nature stable
a-20-39789469919878_64-87795745875945,ISL,nature stable,nature stable
a-18-72000952319358_63-58757394220738,ISL,nature stable,nature stable
a-20-05383536853307_63-62558086782759,ISL,nature stable,nature stable
a-16-02448172152763_64-23813269358081,ISL,nature stable,nature stable
a-16-64532476980092_64-79312945722806,ISL,nature stable,nature stable
a-18-12898764723054_64-6048496697985,ISL,nature stable,nature stable
a-22-47820062970408_66-34664378569114,ISL,nature stable,nature stable
a-15-12080267604863_65-29480715927365,ISL,nature stable,nature stable
a-23-35864687105655_66-1812119448042,ISL,nature stable,nature stable
a-16-99087935621441_66-07202211805443,ISL,nature stable,nature stable
a-17-97657051270666_65-37517022291833,ISL,nature stable,nature stable
a-23-77829039279056_65-59448755014458,ISL,nature loss,nature stable
a-20-52799379219818_64-31131435590824,ISL,nature stable,nature stable
a-22-61186540979883_63-99588310646426,ISL,buffer nature stable,buffer nature stable
a-16-87899928925098_63-96257073280891,ISL,buffer nature stable,buffer crop/built stable
