stratum,area,prop,se,pa,ua,seUa,sePa,oa,ciArea,f1,takeType,country,area_mapped
nature loss,360.70672814817374,0.001499925060342895,50.591039467536575,0.729358553194951,0.45098039215686275,0.07037003311735827,0.06725457862220642,0.8096684545461614,99.156615296816085,0.5573422916157031,separate,GBR,583.361365472246
nature stable,143763.58344191543,0.5978114205861053,7526.064934306052,0.9617815464041332,0.7777777777777778,0.04019107472557347,0.015932791053308224,0.8096684545461614,14750.816216549669,0.8600480632894533,separate,GBR,178463.02500036015
crop/built stable,21691.766908659592,0.26097425767951654,2031.1110453505883,0.6733830025299838,0.9761904761904762,0.023809523809523822,0.062306120382823973,0.9085775316848792,3980.904497488652,0.7969939895108042,merged,AUT,15048.625337131165
land take,140.55286391202534,0.001690995458259677,12.61808473950741,0.6724784605186215,0.7108433734939759,0.0500664280504192,0.05358033571703713,0.9085775316848792,24.73099164330899,0.6911289126269067,merged,AUT,132.96708820743217
nature stable,61286.0962027606,0.7373347468622238,2031.1219603305365,0.992364387487387,0.8971962616822431,0.029498181860449973,0.005778041995286878,0.9085775316848792,3980.925890456243,0.942383743090264,merged,AUT,67936.82354999361
crop/built stable,21694.30093050832,0.26100474456763867,2031.1133780024434,0.6733043474377346,0.9761904761904762,0.023809523809523822,0.062291804233155036,0.9081664448033205,3980.909069402277,0.7969388956318503,separate,AUT,15048.625337131165
cropland loss,75.99141242208759,9.142548198300631e-4,10.670339520090586,0.4103946348802396,0.8048780487804879,0.06265967111543964,0.059191537891894026,0.9081664448033205,20.913481162191946,0.5436107260427884,separate,AUT,38.74682382287424
nature loss,53.064500509594616,6.384204978755014e-4,10.369352288188237,0.5495842773715703,0.30952380952380953,0.07219871305887661,0.09951807389153776,0.9081664448033205,20.32355702785694,0.3960140098347228,separate,AUT,94.22026438455794
nature stable,61295.05913189221,0.7374425801146557,2031.1261583805435,0.9922192780478374,0.8971962616822431,0.029498181860449973,0.005776946741081376,0.9081664448033205,3980.9341184830623,0.9423183077670133,separate,AUT,67936.82354999361
crop/built stable,14722.2214009099,0.4844193475869014,1077.0509808189368,0.6904783267516417,0.8723404255319148,0.0492029089619693,0.044428235964426174,0.7962333269090502,2110.981131918656,0.77082791142476,merged,BEL,11737.349636678646
land take,109.13051212266929,0.0035908257351041192,11.80386282770057,0.7155648103466469,0.6144578313253012,0.05374957797319389,0.06558360540211165,0.7962333269090502,23.135146020744234,0.6611682955796625,merged,BEL,127.08757253799008
nature stable,15560.129092520861,0.5119898266779944,1077.0470172259948,0.8968592223489446,0.76,0.04964740541926501,0.03360591143543939,0.7962333269090502,2110.9733634192403,0.8227772158202661,merged,BEL,18527.043796336795
crop/built stable,14718.778985331272,0.4843060784909334,1077.0547626959826,0.6906398152386339,0.8723404255319148,0.0492029089619693,0.04444675078821673,0.795597242523679,2110.98854426146,0.7709285307631706,separate,BEL,11737.349636678646
cropland loss,40.89013766949092,0.0013454473528953415,9.18936945306275,0.25633278861016223,0.45,0.07966275068156915,0.06574202843927603,0.795597242523679,18.010833168635518,0.3266158862638801,separate,BEL,23.292184478831214
nature loss,69.29957924660283,0.002280230411737412,10.913714241994356,0.6966409493899655,0.46511627906976744,0.07696367820108109,0.08252596534050699,0.795597242523679,21.390486851870786,0.5578085305438176,separate,BEL,103.79538805915887
nature stable,15562.512303306066,0.5120682437444338,1077.0533156692713,0.8967218791918852,0.76,0.04964740541926501,0.03359790411911575,0.795597242523679,2110.985708141221,0.8227194156671107,separate,BEL,18527.043796336795
crop/built stable,40524.29380994625,0.36814741525710676,3252.955978863905,0.7431446089289407,0.8837209302325582,0.049463369732286364,0.052126662077036555,0.8673951785231659,6375.67656186749,0.8073592184372901,merged,BGR,34138.19458289839
land take,115.13162821032651,0.0010459259706968875,15.014831942150701,0.5049683281403998,0.45454545454545453,0.0533836563195185,0.06558930267342246,0.8673951785231659,29.42852984053696,0.4784320191902547,merged,BGR,127.90321678959151
nature stable,69436.84328057095,0.6308066587721964,3252.970834332151,0.9405104461796642,0.8636363636363636,0.03679214606365361,0.022956499476739042,0.8673951785231659,6375.705678050225,0.9004356156397789,merged,BGR,75810.17091903953
crop/built stable,40511.18085607486,0.3680282891818498,3252.9547206664447,0.7433851553847767,0.8837209302325582,0.049463369732286364,0.052157627813125995,0.8672473053955366,6375.674095845782,0.8075011541591773,separate,BGR,34138.19458289839
cropland loss,20.954824861718244,1.9036641690011385e-4,5.714312662497742,0.22492250492876362,0.3333333333333333,0.07647191129018725,0.0722974701978089,0.8672473053955366,11.199847014896756,0.2686014661055387,separate,BGR,14.139635094723602
nature loss,91.68333843588208,8.329073968718545e-4,15.257044126554007,0.4051694955237292,0.32653061224489793,0.06768622021133469,0.0767064684295063,0.8672473053955366,29.90325699858421,0.36162422837350394,separate,BGR,113.76358169486791
nature stable,69452.44969935506,0.6309484370043782,3252.975083792173,0.940299107343418,0.8636363636363636,0.03679214606365361,0.022947230456718235,0.8672473053955366,6375.714006838822,0.9003387480989224,separate,BGR,75810.17091903953
crop/built stable,35655.445127224164,0.45663841046201137,2497.3379782143156,0.7218593034140977,0.9130434782608696,0.04200399056866503,0.04546358391827256,0.8386536965252477,4894.692494524133,0.8062729314448114,merged,CZE,28278.123517536653
land take,135.8468925513905,0.0017397878180885854,14.76590703368258,0.7943548646596522,0.5647058823529412,0.05409572080481036,0.0636094421725057,0.8386536965252477,28.940645985084515,0.6601277621107299,merged,CZE,191.09175823964586
nature stable,42291.1563908809,0.5416218017199002,2497.3470204712744,0.9372647133262424,0.8024691358024691,0.044512978709431966,0.0264467169313519,0.8386536965252477,4894.710217022111,0.8646449051936723,merged,CZE,49613.23313488015
crop/built stable,35650.10250147269,0.45656998758516487,2497.3382636479514,0.7219674833023099,0.9130434782608696,0.04200399056866503,0.04547620697208112,0.838084523831246,4894.693053963778,0.80634040705801735,separate,CZE,28278.123517536653
cropland loss,52.97995153517012,6.785129387405273e-4,10.699146958378284,0.341235295237738,0.4,0.07844645405527362,0.07855477827525771,0.838084523831246,20.969942703722698,0.3682882317451361,separate,CZE,45.19657350946206
